City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Pesochnoye,58.006,39.1772,37.99,91,99,7.31
Ardino,41.5833,25.1333,59.43,80,46,2.15
Te Anau,-45.4167,167.7167,49.98,96,100,1.5
Surgut,61.25,73.4167,41.18,93,0,11.18
Hamina,60.5697,27.1979,33.08,75,100,13.51
Jinchang,38.4953,102.1739,44.98,62,61,3.78
Barrow,71.2906,-156.7887,28.42,86,90,17.27
Linguère,15.3953,-15.1193,88.5,22,40,0.85
Kroya,-7.6331,109.2461,78.4,87,100,5.53
Pontian Kecil,1.4801,103.3899,78.93,86,100,4.5
Ilhabela,-23.7781,-45.3581,73.15,84,0,8.86
Qaanaaq,77.484,-69.3632,-1.52,58,0,8.05
Soe,-9.8607,124.284,66.16,82,64,4.12
Sonoita,31.85,-112.8333,84.52,24,27,16.98
Tiksi,71.6872,128.8694,0.63,99,100,6.71
Washington,47.5001,-120.5015,52.95,62,100,3.8
Isangel,-19.55,169.2667,75.74,80,90,10.78
Shingū,33.7333,135.9833,49.19,72,0,5.79
Laas,46.6166,10.7002,44.02,55,0,0.56
‘Āhuimanu,21.4447,-157.8378,82.11,57,20,8.05
Kahului,20.8947,-156.47,82.98,77,40,14.97
Ulladulla,-35.35,150.4667,59.9,86,99,7.67
Keti Bandar,24.1447,67.4497,79.43,64,0,16.4
Mattru,7.6244,-11.8332,74.8,97,100,2.64
Soyo,-6.1349,12.3689,78.39,84,100,8.5
Saint Paul Harbor,57.79,-152.4072,44.11,76,90,10.36
Kruisfontein,-34.0033,24.7314,57.88,65,68,14.67
Varkaus,62.3153,27.873,32.31,91,97,6.55
Pizarro,4.9533,-77.366,74.91,90,100,9.75
Le Pont-de-Claix,45.1244,5.7064,48.69,85,0,2.57
Constitución,-35.3333,-72.4167,58.82,61,0,20.15
North Myrtle Beach,33.816,-78.68,78.85,65,1,1.99
Ponta Delgada,37.7333,-25.6667,68.72,73,20,4.61
Barranca,-10.75,-77.7667,66.94,71,11,12.62
Leningradskiy,69.3833,178.4167,8.49,89,100,7.85
Buala,-8.145,159.5921,80.06,75,30,4.43
Bantry,51.6833,-9.45,54.88,97,100,25.52
Iqaluit,63.7506,-68.5145,35.33,69,40,18.01
Yar-Sale,66.8333,70.8333,30.72,92,100,10.58
Grants Pass,42.439,-123.3284,56.86,85,90,1.99
Adrar,20.5022,-10.0711,80.46,19,1,3.09
Novy Urengoy,66.0833,76.6333,31.69,99,100,4.97
Rabat,33.9911,-6.8401,65.16,86,0,3.44
Naze,28.3667,129.4833,68.04,74,100,17.78
Belle Fourche,44.6714,-103.8522,67.5,50,100,9.95
Upernavik,72.7868,-56.1549,20.05,82,100,8.14
Egvekinot,66.3167,-179.1667,9.45,79,100,7.61
Eskişehir,39.7767,30.5206,51.71,76,0,8.05
New Norfolk,-42.7826,147.0587,50.67,81,100,7.0
Ruteng,-8.6136,120.4721,62.06,80,50,0.29
Airai,-8.9266,125.4092,60.82,79,21,2.28
Kutno,52.2306,19.3641,43.75,88,7,8.5
Chara,56.9064,118.2631,32.88,58,100,1.25
Faya,18.3851,42.4509,63.12,28,2,5.64
Oblivskaya,48.5362,42.5014,56.03,78,100,11.63
Saldanha,-33.0117,17.9442,57.25,72,35,6.89
Provideniya,64.3833,-173.3,22.95,78,100,8.93
Rongcheng,30.634,117.8517,56.95,86,100,1.21
Tabou,4.423,-7.3528,76.93,89,38,7.49
Tautira,-17.7333,-149.15,78.82,85,100,19.15
Zeya,53.75,127.2667,34.86,75,8,1.72
Dalvik,65.9702,-18.5286,35.53,96,100,2.68
Mount Gambier,-37.8333,140.7667,46.31,93,90,8.05
Norman Wells,65.282,-126.8329,41.04,70,20,5.75
Parrita,9.5201,-84.3225,89.06,74,98,5.03
Porto-Novo,6.4965,2.6036,75.83,90,100,5.7
Wanning,18.8003,110.3967,70.77,88,96,13.35
Kashan,33.9831,51.4364,60.94,24,0,1.45
Tura,25.5198,90.2201,65.8,84,2,3.13
Muros,42.7762,-9.0603,58.23,90,31,1.74
Broome,42.2506,-75.833,49.19,75,90,1.01
Matagami,49.7502,-77.6328,42.91,61,90,11.5
Pevek,69.7008,170.3133,10.69,95,100,6.38
Pánuco,22.05,-98.1667,84.38,57,99,4.0
Douglas,41.3,-96.167,61.9,49,75,5.99
Mahajanga,-15.7167,46.3167,78.82,78,20,5.75
Nouadhibou,20.931,-17.0347,68.92,80,0,21.9
Saýat,38.7839,63.8803,46.27,35,0,9.01
Christchurch,-43.5333,172.6333,56.95,85,90,1.99
Heiligenhafen,54.3667,10.9833,47.95,89,23,9.31
Seydi,39.4816,62.9137,49.96,37,0,8.52
Puerto Escondido,15.85,-97.0667,83.23,69,90,5.75
Arraial do Cabo,-22.9661,-42.0278,76.96,69,0,18.41
Saint-Louis,16.3333,-15.0,92.84,17,83,7.94
Caravelas,-17.7125,-39.2481,76.6,76,26,7.58
Nuquí,5.7125,-77.2708,74.37,95,100,15.23
Piura,-5.2,-80.6333,84.4,44,92,12.53
Beringovskiy,63.05,179.3167,10.62,79,3,10.11
Kyshtovka,56.555,76.6271,47.8,83,99,17.29
Kirakira,-10.4544,161.9205,81.84,75,38,9.06
Fontem,5.4685,9.8818,65.08,96,58,1.23
Panguna,-6.3164,155.4848,68.29,91,30,2.01
Fort Nelson,58.8053,-122.7002,29.79,100,40,2.3
Gorgan,36.8387,54.4348,48.16,93,0,0.0
São Filipe,14.8961,-24.4956,79.93,69,4,6.46
Balabac,7.9868,117.0645,79.21,83,100,6.71
Bambous Virieux,-20.3428,57.7575,75.45,78,40,12.66
Portland,45.5234,-122.6762,55.29,94,90,1.99
Kieta,-6.2167,155.6333,79.5,79,20,2.82
Whitianga,-36.8333,175.7,59.02,94,100,15.79
Bosaso,11.2842,49.1816,79.3,59,45,4.27
Pitimbu,-7.4706,-34.8086,84.79,76,42,11.14
Samarai,-10.6167,150.6667,80.01,83,99,12.5
Siavonga,-16.5382,28.7088,87.64,34,71,5.1
Faanui,-16.4833,-151.75,78.06,73,100,3.04
Kununurra,-15.7667,128.7333,78.78,89,40,2.3
Mezen',65.8522,44.24,27.19,90,100,3.36
Sibolga,1.7427,98.7792,75.88,91,100,4.07
Sitka,57.0531,-135.33,46.29,76,90,11.5
Gold Coast,-28.0,153.4333,73.99,93,100,1.01
Sept-Îles,50.2001,-66.3821,49.05,98,90,3.0
Quryq,43.2,51.65,56.88,38,0,13.87
Yermakovskoye,53.2831,92.4003,37.44,76,100,2.98
Valandovo,41.3169,22.5611,63.72,75,97,5.61
Neyshabur,36.2133,58.7958,53.4,19,0,0.69
Xining,36.6167,101.7667,40.6,85,98,0.65
Katsuura,35.1333,140.3,53.71,59,6,7.43
Ayagoz,47.9714,80.4392,35.71,54,99,13.82
Acapulco de Juárez,16.8634,-99.8901,76.82,88,90,13.8
Linqing,36.8456,115.7117,50.27,65,89,4.83
Zile,40.3031,35.8864,47.52,29,0,1.39
Piraí do Sul,-24.5261,-49.9486,71.74,55,100,5.3
Auki,-8.7676,160.7034,78.51,80,28,2.42
Shakawe,-18.3667,21.85,80.58,36,64,7.85
Kalabo,-14.97,22.6814,81.68,42,95,3.06
Hasaki,35.7333,140.8333,39.6,50,1,7.61
Kumul,42.8,93.45,49.5,42,100,5.28
Gibgos,13.859,123.7675,78.15,88,100,7.23
Kanigoro,-8.13,112.219,73.53,92,93,3.6
Belaya Gora,68.5333,146.4167,-6.95,92,99,4.34
Pangnirtung,66.1451,-65.7125,30.2,93,90,0.0
Taoudenni,22.6783,-3.9836,86.79,18,0,4.88
Grants,35.1473,-107.8514,64.63,19,1,8.05
Wuwei,37.9281,102.6414,44.4,60,93,3.53
Shikhazany,55.5605,47.393,41.63,69,86,8.57
Polyarnyye Zori,67.3661,32.4981,25.61,87,100,6.06
Orán,-23.1322,-64.326,88.43,30,87,12.33
Ndélé,8.4109,20.6473,69.13,93,100,2.84
Pouembout,-21.1333,164.9,72.46,79,24,6.49
Le Vauclin,14.5452,-60.8388,86.13,62,75,17.27
Honningsvåg,70.9821,25.9704,38.59,52,100,22.44
Sioux Lookout,50.1001,-91.917,41.07,75,75,6.91
Phulera,26.8667,75.2333,71.46,64,0,6.64
Aklavik,68.2191,-135.0107,29.23,93,75,5.75
Noshiro,40.2039,140.0242,54.28,65,100,6.22
Darhan,49.4867,105.9228,36.07,51,100,3.47
Gizo Government Station,-8.103,156.8419,82.76,76,56,13.09
Chabahar,25.2919,60.643,78.69,78,0,4.52
Elverum,60.8819,11.5623,33.06,84,100,3.91
Conil,44.9673,3.7177,30.78,90,0,2.01
Barra de Tecoanapa,16.5167,-98.75,75.47,94,100,5.86
Ushtobe,45.2514,77.9838,41.54,51,11,6.15
San Jerónimo,-11.9472,-75.2829,60.19,56,92,12.97
Ābyek,36.0667,50.55,53.2,36,4,7.74
Gigmoto,13.7796,124.39,79.72,85,100,5.7
Cherskiy,68.75,161.3,-2.72,100,98,2.46
Ambilobe,-13.2,49.05,75.76,85,5,3.62
Presidente Epitácio,-21.7633,-52.1156,80.33,71,73,2.89
Skibbereen,51.55,-9.2667,55.2,95,100,29.66
Uthal,25.8072,66.6219,77.23,43,0,2.89
Lafiagi,8.8667,5.4167,76.14,84,89,2.37
Shimoda,34.6667,138.95,52.11,67,100,10.02
Deep River,46.1001,-77.4995,48.43,63,100,4.65
Yangambi,0.8102,24.4336,72.93,81,98,2.59
Vardø,70.3705,31.1107,34.02,73,100,18.77
Booué,-0.0921,11.9385,72.5,97,65,2.55
Vestmannaeyjar,63.4427,-20.2734,46.94,87,100,14.67
Haines Junction,60.7522,-137.5108,31.95,86,100,0.0
Loralai,30.3705,68.598,56.07,29,0,3.22
Coromandel,-18.4733,-47.2003,85.1,34,79,8.21
Hong Kong,22.2855,114.1577,70.25,80,100,1.01
Pacific Grove,36.6177,-121.9166,67.41,75,40,1.01
Springfield,37.2153,-93.2982,63.36,97,90,3.0
Lynchburg,37.4138,-79.1423,71.73,49,1,8.05
Tual,-5.6667,132.75,83.61,76,99,13.56
Khvoynaya,58.9,34.5333,37.76,96,100,4.72
Bakchar,57.0186,82.0711,44.28,86,100,13.27
Nepānagar,21.4667,76.4,70.12,67,4,0.85
Cananéia,-25.0147,-47.9267,71.1,85,100,8.99
Härnösand,62.6323,17.9379,30.0,75,67,5.08
Saint-Pierre,-21.3393,55.4781,73.56,84,0,5.75
Broken Hill,-31.95,141.4333,49.71,66,0,13.8
Ust-Kuyga,70.0167,135.6,-5.24,100,100,1.3
Salinópolis,-0.6136,-47.3561,83.19,74,41,9.91
Kaduqli,11.0167,29.7167,86.86,36,98,1.9
Kapoeta,4.7717,33.5903,84.24,37,31,5.59
Lorengau,-2.0226,147.2712,80.82,81,44,9.31
Seoul,37.5683,126.9778,44.04,91,20,2.3
The Hague,52.0767,4.2986,52.95,88,97,1.99
Coquimbo,-29.9533,-71.3436,62.33,59,0,13.8
Muzhi,65.3667,64.6667,29.55,76,62,19.33
Rundu,-17.9333,19.7667,85.59,30,97,4.59
Salina Cruz,16.1667,-95.2,85.44,63,92,10.31
High Rock,26.6208,-78.2833,80.62,69,98,6.58
Murgab,37.4966,61.9714,48.07,61,0,4.61
Magistral'nyy,56.1725,107.4458,29.41,99,100,2.19
Coyhaique,-45.5752,-72.0662,54.21,40,40,16.11
Kalengwa,-13.4659,25.0027,73.11,48,12,1.32
Berea,41.3662,-81.8543,56.88,70,90,1.99
Rayong,12.8333,101.4333,77.99,99,100,5.7
Lompoc,34.6391,-120.4579,73.69,65,1,14.97
Talnakh,69.4865,88.3972,22.01,96,100,6.93
Mandera,3.9366,41.867,83.62,57,74,13.56
Gander,48.9682,-54.5906,55.78,100,90,3.44
Touros,-5.1989,-35.4608,85.1,68,8,12.84
Mīzan Teferī,6.9833,35.5833,66.69,62,79,2.28
Boyolangu,-8.1181,111.8935,76.1,87,88,2.98
Jumla,29.2747,82.1838,46.31,83,1,4.41
Makkah al Mukarramah,21.4267,39.8261,82.06,57,0,2.08
Bandarbeyla,9.4942,50.8122,77.72,80,22,9.51
Gaurnadi,22.9667,90.2333,74.68,77,58,1.86
Kholodnyy,62.7167,147.95,-9.89,99,82,2.19
Brae,60.3964,-1.353,53.51,90,100,24.45
Mackay,-21.15,149.2,76.05,94,40,5.75
Shenjiamen,29.9576,122.298,64.58,60,100,10.92
Port Montt,-41.4698,-72.9447,58.03,51,20,13.8
Sakakah,29.9697,40.2064,76.57,34,0,11.41
Viedma,-40.8135,-62.9967,59.85,20,8,13.8
Rocha,-34.4833,-54.3333,58.78,93,100,7.25
Venustiano Carranza,19.43,-99.0992,73.9,46,75,3.0
Benghazi,32.1167,20.0667,77.81,42,67,13.53
Pauini,-7.7136,-66.9764,89.92,50,97,3.74
Alta Floresta,-9.8756,-56.0861,83.97,60,100,3.47
Kasongo-Lunda,-6.4667,16.8167,71.51,95,36,1.83
Clyde River,70.4692,-68.5914,21.88,80,93,15.86
Labuhan,-6.8844,112.2051,79.43,80,97,8.68
Mamlyutka,54.9375,68.5394,47.03,79,11,15.05
Andenes,69.3143,16.1194,37.38,75,40,12.66
Husavik,66.0449,-17.3389,35.51,97,100,3.29
Te Kauwhata,-37.4,175.15,59.14,45,100,7.99
Ust-Maya,60.4167,134.5333,19.09,98,100,0.51
Codrington,-38.2667,141.9667,48.56,73,62,13.15
Mafinga,-7.25,35.0667,80.28,37,34,7.38
Neepawa,50.2289,-99.4664,39.81,51,73,10.74
Loja,-3.9931,-79.2042,71.01,50,75,11.5
Bathsheba,13.2167,-59.5167,86.61,66,40,21.85
Makakilo City,21.3469,-158.0858,80.92,56,1,11.5
Diré,12.2833,-10.9667,77.16,87,56,1.92
Vila Velha,-20.3297,-40.2925,78.75,69,40,14.97
Wewak,-3.5534,143.6268,79.3,83,100,8.95
Koróni,36.8,21.95,68.07,66,3,6.02
Chapada dos Guimarães,-15.4606,-55.7497,91.06,40,56,12.62
Kristinestad,62.2743,21.376,31.78,79,15,4.61
Sansepolcro,43.5747,12.143,60.57,76,100,5.88
Hastings,50.8552,0.5729,57.9,71,41,14.09
Micheweni,-4.9667,39.8333,77.13,78,8,7.38
Porto Murtinho,-21.6989,-57.8825,109.45,19,0,13.91
Bullhead City,35.1478,-114.5683,83.62,20,40,12.66
Fairbanks,64.8378,-147.7164,37.31,84,1,0.0
Nioro,13.35,-15.75,80.89,52,51,5.1
Port Lincoln,-34.7333,135.8667,53.01,79,1,9.42
Cabinuangan,7.6833,126.0333,74.39,94,100,1.01
Dubai,25.2582,55.3047,87.73,55,0,4.61
Dongobesh,-4.0667,35.3833,63.25,60,82,5.75
Ouadda,8.0777,22.4007,70.23,91,100,3.65
Ocean City,39.2776,-74.5746,65.98,70,81,8.03
Comodoro Rivadavia,-45.8667,-67.5,64.26,10,40,37.98
Kaoma,-14.7833,24.8,75.65,38,65,4.56
Innisfail,-17.5333,146.0333,70.77,91,39,2.55
Bad Münstereifel,50.55,6.7667,45.68,86,4,5.66
Taganak,6.0833,118.3,73.54,76,100,5.91
Meulaboh,4.1363,96.1285,76.68,90,100,3.85
Santa Rosa,14.3122,121.1114,79.11,88,100,7.7
Mbaïki,3.8678,17.9892,70.41,98,100,1.14
Zhangaözen,43.3,52.8,51.93,23,0,12.77
Isiolo,0.3546,37.5822,72.91,55,42,4.97
Gornopravdinsk,60.05,69.9,42.46,80,98,14.2
Tazovsky,67.4667,78.7,27.25,97,100,8.9
Saint-Augustin,51.226,-58.6502,40.68,88,100,16.8
Belmonte,-15.8631,-38.8828,77.5,91,100,9.84
Arona,28.0996,-16.681,66.7,72,75,13.8
Byron Bay,-28.65,153.6167,73.87,91,64,8.1
Alghero,40.5589,8.3181,62.69,94,0,3.44
Dali,25.7,100.1833,52.99,93,13,1.23
Xichang,27.8964,102.2634,55.58,88,84,1.16
San Patricio,28.017,-97.5169,89.69,49,18,14.94
Pemba,-12.974,40.5178,83.1,69,40,10.36
Kaitong,44.8135,123.15,41.59,48,0,7.96
Cabedelo,-6.9811,-34.8339,84.87,73,43,10.89
Tall Kayf,37.0833,41.0667,65.75,19,0,5.53
Porbandar,21.6422,69.6093,81.52,60,100,13.09
San Cristobal,7.7669,-72.225,82.58,56,91,4.27
Bhatkal,13.9667,74.5667,77.5,87,99,3.76
Saint-Joseph,-21.3667,55.6167,72.46,82,45,8.19
Blankenberge,51.3131,3.1323,53.55,79,99,11.97
Gladstone,-23.85,151.25,69.73,88,50,4.61
Lahaina,20.8783,-156.6825,82.96,83,6,8.37
Antalaha,-14.9003,50.2788,74.26,93,77,1.43
Chicama,-7.8447,-79.1469,63.14,62,22,11.16
Junction City,39.0286,-96.8314,64.26,68,90,11.5
Sumisip,6.4197,121.9714,78.62,88,99,5.59
Lavrentiya,65.5833,-171.0,23.27,85,100,9.57
Teya,60.3778,92.6267,34.34,93,100,14.34
La Concordia,13.1953,-86.1667,78.31,75,53,4.32
Finschhafen,-6.6024,147.8681,77.72,78,14,8.68
Karangampel,-6.4622,108.4519,80.73,77,100,3.27
Mandalgovi,45.7625,106.2708,34.63,35,5,5.39
Beloha,-25.1667,45.05,70.68,85,1,3.94
Camapuã,-19.5314,-54.0439,92.44,37,80,11.74
St. George's,12.0564,-61.7485,85.68,70,20,28.77
San Ignacio,17.1561,-89.0714,89.74,66,75,3.44
Alice,27.7523,-98.0697,89.17,52,20,10.36
Sukhobezvodnoye,57.0491,44.8891,40.46,86,92,6.76
Isla Vista,34.4133,-119.861,73.9,69,1,4.61
Takoradze,4.8845,-1.7554,78.33,84,100,6.29
Praia,14.9215,-23.5087,81.14,57,0,16.11
Bowen,-20.0167,148.2333,71.82,75,40,5.86
Pāsighāt,28.0667,95.3333,69.01,89,2,3.4
Bani Walid,31.7566,13.9942,80.69,28,100,9.1
Jaltenango,15.8719,-92.7247,81.16,74,79,2.35
Yatou,37.15,122.3833,48.69,71,23,2.55
Cockburn Town,21.4612,-71.1419,85.96,62,75,11.5
Plouzané,48.3833,-4.6167,53.65,76,90,11.5
Azanka,58.0401,64.7893,41.16,78,26,10.04
Nemuro,43.3236,145.575,43.09,73,1,13.2
Sabha,27.0377,14.4283,83.05,15,56,11.41
Westport,41.1415,-73.3579,62.06,58,1,1.01
Kavieng,-2.5744,150.7967,81.5,78,96,13.2
Petropavlovka,50.6114,105.3196,35.55,62,100,1.86
Shache,38.4167,77.2406,49.19,40,35,5.68
Praia,14.9215,-23.5087,81.14,57,0,16.11
Beyneu,45.3167,55.2,52.32,27,0,11.41
Timberlake,37.3207,-79.2575,70.88,47,1,1.99
Znamenskoye,57.1281,73.8282,47.14,79,52,13.89
Becerril,9.7041,-73.2793,86.95,72,88,2.13
Margate,51.3813,1.3862,55.31,76,15,14.2
Ibotirama,-12.1853,-43.2206,83.37,61,100,2.64
Sandwick,60.0,-1.25,53.42,87,100,23.02
Kurali,30.8315,76.5785,66.16,75,100,5.57
Pangkalanbuun,-2.6833,111.6167,73.58,98,100,1.61
Kichmengskiy Gorodok,59.9816,45.7854,35.19,93,48,4.56
Araouane,18.9048,-3.5265,88.88,18,12,7.34
Mincivan,39.0294,46.7185,57.43,66,33,2.17
Campos dos Goytacazes,-21.75,-41.3,77.05,69,40,23.02
Gamba,-2.65,10.0,76.12,88,100,4.9
Anori,-3.7728,-61.6442,88.48,54,100,2.59
Omaruru,-21.4333,15.9333,65.66,19,0,5.57
Sepuka,-4.75,34.5333,73.42,45,100,7.49
Meadow Lake,34.8014,-106.5436,75.97,22,55,9.53
Palmer,42.1584,-72.3287,61.65,48,40,1.99
